ts,profile,symbol,side,signal_id,signal_ts,strategy_name,valid,entry_valid,add_valid,decision,block_reason,score,rs30,rs60,ema50,ema100,ema25d,ema50d,btc_return_30m,volatility,budget_multiplier,ladder_multiplier,macro_regime,external_valid,external_stale,external_spread_bps,planned_budget,planned_orders,planned_notional,placed_orders,filled_notional,realized_pnl_quote
1779690170,short,OP/USDT:USDT,short,short:OP/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.02588100,-0.00328895,-0.00130859,0.127389821853,0.127133719065,0.132226151038,0.128259266234,-0.00221205,0.00086491,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,NEAR/USDT:USDT,short,short:NEAR/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.09542299,0.00854787,-0.00068459,2.381512173837,2.375645937199,1.722456908455,1.553208440173,-0.00221205,0.00184805,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,SEI/USDT:USDT,short,short:SEI/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.02687666,-0.00054210,0.00265003,0.061826064797,0.061660781879,0.061952363704,0.060317160249,-0.00221205,0.00087921,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,FIL/USDT:USDT,short,short:FIL/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.02034958,-0.00296127,-0.00126866,0.966292097019,0.964728551988,0.989507113043,0.965390080371,-0.00221205,0.00072322,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,ATOM/USDT:USDT,short,short:ATOM/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.03674125,0.00310042,0.01662224,2.137612576651,2.122795814200,1.993560124050,1.924671403223,-0.00221205,0.00129494,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,ALGO/USDT:USDT,short,short:ALGO/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.02785599,0.00018945,0.00395345,0.113837045356,0.113468379167,0.114097898435,0.110879538619,-0.00221205,0.00095729,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,POL/USDT:USDT,short,short:POL/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.00054654,-0.00020182,0.00008242,0.091174656000,0.091040249066,0.092649471321,0.092781727068,-0.00221205,0.00041802,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690171,short,TIA/USDT:USDT,short,short:TIA/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.05584587,-0.01342405,0.00207032,0.436067430103,0.433358403262,0.403464425567,0.380602353588,-0.00221205,0.00186462,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690171,short,HBAR/USDT:USDT,short,short:HBAR/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00201371,-0.00014499,0.00071545,0.089097612442,0.088998275572,0.090028967916,0.089935532365,-0.00221205,0.00040700,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690171,short,XLM/USDT:USDT,short,short:XLM/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.02906132,-0.00142677,-0.00186754,0.148636594674,0.148455654108,0.153651031797,0.158282385874,-0.00221205,0.00054713,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690171,short,SSV/USDT:USDT,short,short:SSV/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.02013586,-0.00350988,-0.00121723,2.623110838587,2.619460463682,2.688298977960,2.630464313379,-0.00221205,0.00119571,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690171,short,LPT/USDT:USDT,short,short:LPT/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.00533949,0.00221205,0.00183854,2.038000000000,2.038000000000,2.105637222309,2.116730473915,-0.00221205,,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690171,short,ENA/USDT:USDT,short,short:ENA/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00692554,-0.00398735,-0.00366285,0.100076999177,0.099878000750,0.107476763408,0.105883342988,-0.00221205,0.00088241,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690171,short,UNI/USDT:USDT,short,short:UNI/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00441408,0.00003404,-0.00151480,3.403954996723,3.398656977352,3.481835576296,3.445535412937,-0.00221205,0.00075525,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690171,short,LDO/USDT:USDT,short,short:LDO/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00005913,-0.00385997,-0.00250237,0.346056561378,0.345722658532,0.363750893255,0.361969205530,-0.00221205,0.00072211,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690172,short,ZRO/USDT:USDT,short,short:ZRO/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.10294326,-0.00235939,-0.00538994,1.316084054670,1.314335978332,1.398186050755,1.523440456381,-0.00221205,0.00114094,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690172,short,ORCA/USDT:USDT,short,short:ORCA/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,,,,,,,,,,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690172,short,DYDX/USDT:USDT,short,short:DYDX/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.05556686,-0.00247494,0.00452672,0.149431474023,0.148855473239,0.147220957784,0.139015497586,-0.00221205,0.00102273,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690172,short,COMP/USDT:USDT,short,short:COMP/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00143594,0.00071616,-0.00759783,20.106596611539,20.112905327301,21.831645937978,21.468260416477,-0.00221205,0.00137572,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690172,short,AXS/USDT:USDT,short,short:AXS/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,0.00882614,-0.00279833,-0.00678443,1.159298552116,1.159639515198,1.228371167907,1.224907332939,-0.00221205,0.00061285,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690172,short,SAND/USDT:USDT,short,short:SAND/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.01666199,-0.00071189,0.00036145,0.071189531828,0.071080288070,0.073853105775,0.074950844186,-0.00221205,0.00058353,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690182,short,SOL/USDT:USDT,short,short:SOL/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00415251,-0.00153027,-0.00157441,85.846978939786,85.756357606145,86.763449367504,86.352956038988,-0.00221205,0.00049981,1.00000000,1.00000000,neutral,,,,,0,,0,,
